1,Airan Shahi Thakuri,Pokhara,5452432,mail@kirans.com.np,ceo,IT,1/5/2017,100,21
2,Biran Shahi Thakuri,Pokhara,5452432,mail@kirans.com.np,ceo,Marketing,1/6/2017,14300,32
3,Ciran Shahi Thakuri,Pokhara,5452432,mail@kirans.com.np,ceo,Marketing,1/7/2017,3432,34
4,Diran Shahi Thakuri,Pokhara,5452432,mail@kirans.com.np,ceo,Marketing,1/8/2017,43243,12
5,Eiran Shahi Thakuri,Pokhara,5452432,mail@kirans.com.np,ceo,IT,1/9/2017,43241,23
6,Firan Shahi Thakuri,Pokhara,5452432,mail@kirans.com.np,ceo,IT,1/10/2017,3442,431
7,Jiran Shahi Thakuri,Pokhara,5452432,mail@kirans.com.np,ceo,IT,1/11/2017,3100,4123
8,Kiran Shahi Thakuri,Pokhara,5452432,mail@kirans.com.np,ceo,Sales,1/12/2017,423,43
9,Liran Shahi Thakuri,Pokhara,5452432,mail@kirans.com.np,ceo,Sales,1/13/2017,343,344
10,Miran Shahi Thakuri,Pokhara,5452432,mail@kirans.com.np,ceo,Sales,1/14/2017,432,321
11,Niran Shahi Thakuri,Pokhara,5452432,mail@kirans.com.np,ceo,Sales,1/15/2017,34,43
12,Oiran Shahi Thakuri,Pokhara,5452432,mail@kirans.com.np,ceo,Sales,1/16/2017,431,134
13,Piran Shahi Thakuri,Pokhara,5452432,mail@kirans.com.np,ceo,Sales,1/17/2017,432,324
14,Qiran Shahi Thakuri,Pokhara,5452432,mail@kirans.com.np,ceo,Sales,1/18/2017,431,34
15,Riran Shahi Thakuri,Pokhara,5452432,mail@kirans.com.np,ceo,IT,1/19/2017,4312,14
16,Siran Shahi Thakuri,Pokhara,5452432,mail@kirans.com.np,ceo,IT,1/20/2017,100,14
17,Tiran Shahi Thakuri,Pokhara,5452432,mail@kirans.com.np,ceo,IT,1/21/2017,341,4312
18,Uiran Shahi Thakuri,Pokhara,5452432,mail@kirans.com.np,ceo,IT,1/22/2017,143,41
19,Viran Shahi Thakuri,Pokhara,5452432,mail@kirans.com.np,ceo,IT,1/23/2017,1324,14
20,Wiran Shahi Thakuri,Pokhara,5452432,mail@kirans.com.np,ceo,IT,1/24/2017,4321,41
21,Xiran Shahi Thakuri,Pokhara,5452432,mail@kirans.com.np,ceo,IT,1/25/2017,41,4343
22,Yiran Shahi Thakuri,Pokhara,5452432,mail@kirans.com.np,ceo,IT,1/26/2017,432,11
23,Ziran Shahi Thakuri,Pokhara,5452432,mail@kirans.com.np,ceo,IT,1/27/2017,431,1414
24,Giran Shahi Thakuri,Pokhara,5452432,mail@kirans.com.np,ceo,IT,1/28/2017,100,341
25,Hiran Shahi Thakuri,Pokhara,5452432,mail@kirans.com.np,ceo,IT,1/29/2017,312,134
26,Iiran Shahi Thakuri,Pokhara,5452432,mail@kirans.com.np,ceo,IT,1/30/2017,432,41
27,Kiran Shahi Thakuri,Pokhara,5452432,mail@kirans.com.np,ceo,IT,1/31/2017,4231,31
28,Kiran Shahi Thakuri,Pokhara,5452432,mail@kirans.com.np,ceo,IT,2/1/2017,321,1
29,Kiran Shahi Thakuri,Pokhara,5452432,mail@kirans.com.np,ceo,IT,2/2/2017,413,1
30,Kiran Shahi Thakuri,Pokhara,5452432,mail@kirans.com.np,ceo,IT,2/3/2017,143,41
